raceId,Bgap_mean,Bgap_median,Bgap_std,Bgap_var,First_ten_gap,Bgap_average
487,375.84615384615387,350.0,319.16883551206905,101868.74556213019,3433.0,375.84615384615387
488,583.4285714285714,487.0,534.356450626855,285536.8163265306,4084.0,583.4285714285714
489,362.61538461538464,174.0,345.0209666898829,119039.46745562128,3516.0,362.61538461538464
490,194.45,161.5,168.9607868708003,28547.747499999998,1724.0,194.45
491,195.77777777777777,163.5,192.91695264357654,37216.95061728395,1584.0,195.77777777777777
492,236.85714285714286,168.0,248.65548660829538,61829.55102040816,2776.0,236.85714285714286
493,554.9166666666666,523.0,349.27173240266035,121990.74305555556,5406.0,554.9166666666666
494,247.47058823529412,124.0,242.09966777124683,58612.249134948084,2478.0,247.47058823529412
495,334.70588235294116,131.0,424.711495807778,180379.85467128025,3886.0,334.70588235294116
496,386.0,215.0,425.9302424441958,181416.57142857142,4877.0,386.0
497,247.46666666666667,188.0,223.42780091613986,49919.98222222223,2733.0,247.46666666666667
498,433.7,493.0,296.7413183228786,88055.40999999999,4337.0,433.7
499,394.6,280.0,367.8252846121376,135295.44,3946.0,394.6
500,267.53846153846155,231.0,242.50412062624844,58808.248520710054,2486.0,267.53846153846155
501,451.4166666666667,309.5,481.06642963547375,231424.90972222222,4357.0,451.4166666666667
502,376.0,383.0,266.8687375413671,71218.92307692308,3476.0,376.0
503,469.15384615384613,228.0,567.2333458454759,321753.66863905324,4901.0,469.15384615384613
504,322.0,178.0,352.8340025186537,124491.83333333333,3735.0,322.0
505,462.3,361.0,404.7935399682164,163857.81,4623.0,462.3
506,344.5,284.0,273.76190993878845,74945.58333333333,3626.0,344.5
507,302.1666666666667,214.5,319.4959137279988,102077.63888888886,2945.0,302.1666666666667
508,352.35714285714283,272.0,343.9754158870861,118319.08673469386,3715.0,352.35714285714283
509,394.53846153846155,198.0,469.92202550973457,220826.7100591716,4528.0,394.53846153846155
510,364.0,230.0,408.91779700311696,167213.76470588235,4437.0,364.0
511,463.6923076923077,391.0,340.39827004337246,115870.98224852071,4898.0,463.6923076923077
512,301.6875,249.5,235.74687663625576,55576.58984375,3168.0,301.6875
513,277.2352941176471,169.0,314.43778574984657,98871.12110726642,2935.0,277.2352941176471
514,227.47058823529412,179.0,223.38732326112782,49901.89619377162,1773.0,227.47058823529412
515,518.3636363636364,218.0,603.8523709901395,364637.6859504132,5484.0,518.3636363636364
516,212.05,146.5,239.64567073076867,57430.0475,3301.0,212.05
517,384.7692307692308,368.0,291.5246800071213,84986.63905325445,4135.0,384.7692307692308
518,367.38461538461536,250.0,367.9909151181147,135417.31360946747,4049.0,367.38461538461536
519,494.5,267.0,516.150026639542,266410.85,4945.0,494.5
520,439.75,340.5,411.18976255900793,169077.02083333334,4750.0,439.75
