raceId,circuitType_RACE,circuitType_ROAD,circuitType_STREET,Bgap_mean,Bgap_median,Bgap_std,Bgap_var,First_ten_gap,Bgap_average
781,True,False,False,169.45454545454547,76.0,178.11276491255023,31724.157024793385,1778.0,169.45454545454547
782,True,False,False,204.8636363636364,155.0,281.0290013268681,78977.29958677685,1410.0,204.8636363636364
783,True,False,False,223.4090909090909,131.5,276.94857728973784,76700.51446280991,1156.0,223.4090909090909
784,True,False,False,179.77272727272728,79.5,213.62178383518287,45634.26652892562,1390.0,179.77272727272728
785,True,False,False,161.63636363636363,85.0,169.00982904567883,28564.322314049587,957.0,161.63636363636363
786,False,False,True,176.0,132.5,181.3011056477343,32870.09090909091,953.0,176.0
787,True,False,False,149.6818181818182,125.5,147.11386633972165,21642.489669421488,952.0,149.6818181818182
788,True,False,False,206.22727272727272,96.5,335.9443855242848,112858.63016528926,1174.0,206.22727272727272
789,True,False,False,132.36363636363637,85.5,163.18409722389268,26629.049586776862,400.0,132.36363636363637
790,True,False,False,116.55,80.0,119.57695221069986,14298.647499999995,620.0,116.55
791,False,False,True,135.65,94.5,139.30372392725187,19405.527500000004,729.0,135.65
792,False,False,True,350.3157894736842,114.0,962.3889711836664,926192.5318559556,982.0,350.3157894736842
793,True,False,False,101.45,69.5,136.5724990618536,18652.0475,663.0,101.45
794,True,False,False,117.4,86.0,128.4917896209715,16510.14,578.0,117.4
795,True,False,False,118.0,85.0,102.53584739007134,10513.6,878.0,118.0
796,True,False,False,152.25,134.0,116.2952600065884,13524.5875,1063.0,152.25
797,False,False,True,105.05,69.5,130.28064898518122,16973.047499999997,494.0,105.05
798,True,False,False,120.5,50.5,172.26070358616326,29673.75,777.0,120.5
799,True,False,False,110.15,55.0,118.07763336042946,13942.327500000005,692.0,110.15
800,False,False,True,206.6315789473684,86.0,320.4186752107666,102668.12742382272,812.0,196.3
801,True,False,False,131.15,82.5,153.6145419548553,23597.4275,815.0,131.15
802,True,False,False,139.6,107.5,168.04951651224707,28240.64,768.0,139.6
803,True,False,False,87.0,51.0,101.82043016998112,10367.4,339.0,87.0
804,False,False,True,121.16666666666669,78.5,161.78663933300138,26174.91666666667,822.0,109.05
805,True,False,False,116.15,80.0,115.08226405489248,13243.927500000002,922.0,116.15
806,True,False,False,127.1,52.0,206.7302348472521,42737.39,835.0,127.1
807,True,False,False,84.25,112.0,59.29997892073825,3516.4875,692.0,84.25
808,True,False,False,112.5,69.5,122.7540223373556,15068.55,555.0,112.5
809,False,False,True,113.7,78.0,113.38434636227348,12856.010000000002,1065.0,113.7
810,True,False,False,95.1,44.0,102.0930457964694,10422.989999999998,457.0,95.1
811,True,False,False,105.85,64.0,113.23704120118998,12822.6275,672.0,105.85
812,True,False,False,115.1,53.0,239.83221218176675,57519.48999999999,514.0,115.1
813,True,False,False,105.3157894736842,61.0,128.94350155319106,16626.426592797783,644.0,105.3157894736842
814,False,False,True,166.85,69.5,321.8627463686968,103595.62750000002,706.0,166.85
815,True,False,False,122.7,53.0,184.36650997401887,33991.009999999995,544.0,122.7
816,True,False,False,99.8,56.5,152.65896632690792,23304.76,590.0,99.8
817,False,False,True,129.75,55.0,179.19873743974873,32112.1875,645.0,129.75
818,True,False,False,97.0,79.0,98.42933167167872,9688.333333333334,919.0,97.0
819,True,False,False,1056.35,194.5,3274.304403610025,10721069.3275,1846.0,1056.35
820,True,False,False,124.45,95.5,105.30359680466762,11088.847500000003,966.0,124.45
821,True,False,False,459.2083333333333,195.5,745.2027676616315,555327.1649305555,1285.0,459.2083333333333
822,False,False,True,291.0434782608696,105.0,484.0820518179222,234335.43289224952,1166.0,291.0434782608696
823,True,False,False,595.3913043478261,255.0,956.8366694991882,915536.4120982988,2088.0,595.3913043478261
824,True,False,False,261.7391304347826,141.0,446.434007722774,199303.32325141784,1107.0,261.7391304347826
825,True,False,False,309.8695652173913,108.0,400.1937904856711,160155.06994328924,1730.0,309.8695652173913
826,False,False,True,249.2608695652174,158.0,294.00727843568245,86440.27977315692,1235.0,249.2608695652174
827,True,False,False,240.20833333333331,109.5,280.47340622102166,78665.33159722223,1139.0,240.20833333333331
828,False,False,True,527.1666666666666,159.5,1585.295047897674,2513160.3888888885,896.0,527.1666666666666
829,False,False,True,219.33333333333331,106.0,331.6780148812332,110010.30555555556,936.0,219.33333333333331
830,True,False,False,306.375,145.0,455.3258734595111,207321.65104166663,1511.0,306.375
