raceId,Bgap_mean,Bgap_median,Bgap_std,Bgap_var,First_ten_gap,Bgap_average
840,448.5,186.5,587.5788599555524,345248.9166666667,2283.0,448.5
841,321.0,196.0,402.0380371722722,161634.58333333334,1821.0,321.0
842,280.7916666666667,155.5,334.16649781791244,111667.24826388888,1857.0,280.7916666666667
843,,,,,1610.0,
844,329.3478260869565,289.0,292.80853050885037,85736.83553875236,1907.0,329.3478260869565
845,235.45454545454547,119.5,283.425912601308,80330.2479338843,1989.0,235.45454545454547
846,266.6666666666667,157.5,366.0711072395028,134008.05555555556,1071.0,266.6666666666667
847,307.8333333333333,169.5,350.1908606587112,122633.63888888889,2059.0,307.8333333333333
848,319.1666666666667,247.0,285.2327509635284,81357.72222222223,1977.0,319.1666666666667
849,289.875,185.5,371.890475868456,138302.52604166666,2101.0,289.875
