raceId,Bgap_mean,Bgap_median,Bgap_std,Bgap_var,First_ten_gap,gapWeightedSum
444,966.8076923076924,363.0,2395.6771488410723,5739269.0014792895,3286.0,0.051699372095088375
445,372.4230769230769,176.0,390.8782195830035,152785.78254437872,3539.0,0.14032787645052092
446,664.4615384615385,415.5,1010.1359097730452,1020374.5562130178,4315.0,0.15618229371442496
447,398.3076923076923,238.0,456.0051255810761,207940.67455621305,3342.0,0.1122043591211842
448,346.7307692307692,188.0,427.1518877484924,182458.7352071006,2863.0,0.07972675391547333
449,327.7307692307692,165.5,352.34364319426606,124146.04289940828,3350.0,0.13546332114879678
450,357.1923076923077,172.0,430.0504459882289,184943.38609467456,1758.0,-0.04833185958199752
451,391.1538461538461,364.5,316.7902354152316,100356.05325443788,3576.0,0.12444878931179887
452,263.61538461538464,159.5,251.2931290075209,63148.236686390526,2323.0,0.0386703401970308
453,292.88461538461536,222.0,291.25673672275894,84830.48668639053,3184.0,0.12501790008062358
454,293.61538461538464,167.0,490.57564906507673,240664.4674556213,4372.0,0.280147470004999
455,250.2692307692308,131.0,353.74170908384855,125133.19674556216,4360.0,0.2846152789416455
456,252.46153846153845,147.5,290.626277435635,84463.6331360947,4484.0,0.29052072513119703
457,230.15384615384616,173.5,220.75215693827187,48731.51479289941,3287.0,0.15842471378237927
458,231.42307692307693,202.0,213.44989919757663,45560.85946745564,3204.0,0.14720601447035533
459,190.34615384615384,134.5,228.0858378073572,52023.14940828404,2907.0,0.13534713343509616
460,207.46153846153845,142.0,233.66531469163505,54599.47928994084,2729.0,0.10808388097746359
461,324.88461538461536,247.0,306.1917859174436,93753.4097633136,4915.0,0.3058049713569397
462,191.5,140.0,152.70112840246014,23317.634615384617,2256.0,0.05370499278146801
463,319.65384615384613,213.0,351.68932337720287,123685.3801775148,4207.0,0.2342431185713333
464,242.92307692307693,146.5,215.6515927774604,46505.609467455615,3461.0,0.17215823909156333
465,183.03846153846155,134.0,204.27611042395736,41728.72928994083,2192.0,0.055936356881475274
466,150.3846153846154,106.0,179.71025331886045,32295.775147929,2380.0,0.08973987865474943
467,259.0769230769231,105.5,294.2611246282044,86589.60946745564,2646.0,0.08256956025599228
468,176.92307692307693,95.5,293.56874742972155,86182.60946745565,2738.0,0.13016696000173214
469,219.5,174.5,191.22062368655983,36565.32692307692,2324.0,0.052072906673353556
470,197.19230769230768,140.5,272.4377161326927,74222.30917159763,3094.0,0.15780873857250077
471,210.69230769230768,100.0,280.12631343608183,78470.75147928996,3207.0,0.16599011944000538
472,152.1153846153846,104.5,181.94194486641928,33102.87130177515,2725.0,0.12792221647433338
473,143.84615384615384,73.5,269.19290942594887,72464.8224852071,2384.0,0.1032673024514523
474,156.30769230769232,140.0,143.42989958399383,20572.13609467455,2086.0,0.04956917369534136
475,125.57692307692308,72.0,159.52192351786707,25447.244082840232,1833.0,0.03813098536406802
476,155.73076923076923,136.0,128.2928014325367,16459.042899408287,1826.0,0.019140081626186745
477,245.0,176.0,282.9267369152984,80047.53846153847,4588.0,0.3041845070106082
478,154.1153846153846,131.5,141.36160041187253,19983.10207100592,2020.0,0.043105373330743296
479,236.92307692307693,78.5,447.4471969772972,200208.99408284025,4997.0,0.37306538529044414
480,214.34615384615384,105.0,277.26756617829983,76877.30325443788,3679.0,0.21688119637770184
481,145.34615384615384,65.0,186.25085282359052,34689.380177514795,2406.0,0.0964346719547644
482,169.84615384615384,101.5,186.3207929078837,34715.43786982249,2276.0,0.07006159772217338
483,219.84615384615384,145.0,325.2759411174188,105804.43786982248,3478.0,0.1961475594522874
484,143.30769230769232,82.0,171.39871851930272,29377.520710059165,2192.0,0.071443579339987
485,168.46153846153845,75.5,189.4904565831606,35906.63313609467,1463.0,-0.01966004825290157
486,146.53846153846155,112.5,138.04325709140005,19055.940828402367,2032.0,0.04790021897525308
487,209.5,93.0,225.9777473728161,51065.94230769231,3462.0,0.18953280002661357
488,161.30769230769232,69.5,193.8121154486338,37563.13609467456,2252.0,0.07265440874410159
489,181.30769230769232,85.0,225.3072721061292,50763.36686390533,2261.0,0.06765151800287367
490,165.07692307692307,154.0,149.43764407757376,22331.60946745561,1365.0,-0.03491093303077225
491,135.53846153846155,103.0,115.03084227526205,13232.094674556212,1416.0,-0.01847438846494693
492,170.12,119.0,159.71482586159618,25508.8256,1880.0,0.02235415899971515
493,269.65384615384613,210.5,273.881212643462,75010.91863905326,4151.0,0.24237871938736202
494,161.80769230769232,119.5,176.1293273161185,31021.5399408284,1756.0,0.013933855463415074
495,218.84615384615384,141.5,210.34197289682865,44243.745562130185,3103.0,0.14242549002788318
496,207.84615384615384,171.0,189.70801295020408,35989.130177514795,3023.0,0.13565964203070793
497,166.32,120.0,174.4870700080668,30445.737600000008,2116.0,0.052090926780125696
498,190.96,107.0,186.03020829962,34607.2384,2223.0,0.05442873945218685
499,264.2,224.0,285.6350118595408,81587.36,3903.0,0.21800667096955567
500,177.8846153846154,132.5,160.76555479787163,25845.563609467463,2156.0,0.049647627766438274
501,215.69230769230768,137.0,259.09008965264,67127.67455621302,3457.0,0.18881469560850042
502,188.0,98.0,212.62082537845484,45207.61538461538,2490.0,0.08871200701145943
503,243.96,152.0,248.75746903359507,61880.27840000001,3614.0,0.19225145191387397
504,172.5,129.5,187.7183344186792,35238.17307692308,2420.0,0.08461132437183169
505,177.80769230769232,121.5,160.69321445411947,25822.30917159764,2027.0,0.035421055368729165
506,172.3846153846154,93.5,201.51409130401487,40607.928994082846,1757.0,0.012464131716075574
507,181.07692307692307,64.5,218.4217731956161,47708.07100591716,2461.0,0.08986376369263262
508,202.03846153846155,141.0,196.0952438856084,38453.34467455621,3130.0,0.15155553910652997
509,241.42307692307693,119.5,356.6808714843568,127221.24408284025,3911.0,0.23878874609392806
510,238.0,80.5,305.87516307247864,93559.6153846154,3829.0,0.2265226790977689
511,232.15384615384616,133.5,253.2505132970259,64135.822485207085,3488.0,0.18429728758838554
512,203.92307692307693,185.5,159.84293326140343,25549.76331360947,2180.0,0.039423372965219014
513,181.2692307692308,116.0,160.09265530942906,25629.658284023662,2577.0,0.09559429914582171
514,184.69230769230768,143.0,187.4508693027772,35137.82840236687,1925.0,0.023278640652929217
515,219.30769230769232,121.5,360.1570991868334,129713.13609467456,3914.0,0.24945598579031875
516,163.1153846153846,82.5,174.38404278688526,30409.794378698225,2318.0,0.07692560301086634
517,192.3846153846154,109.5,190.0326038671901,36112.39053254439,3058.0,0.1478223962902093
518,183.69230769230768,83.5,294.17691814892214,86540.05917159763,3071.0,0.16475908976868298
519,190.2692307692308,92.0,287.15896933343225,82460.27366863907,3335.0,0.19048700968761642
520,215.23076923076923,135.0,245.68449243386365,60360.869822485205,3403.0,0.18158498510646875
521,208.7692307692308,158.5,215.3853983502252,46390.869822485205,3201.0,0.15817560767551497
522,209.6153846153846,137.5,213.72971373336085,45680.39053254438,3152.0,0.15253420679484495
523,142.07692307692307,59.5,237.46852796770332,56391.30177514792,2585.0,0.1235275619925931
524,186.03846153846155,118.0,199.53686391033511,39814.9600591716,3074.0,0.1533271645889266
525,285.11538461538464,117.0,424.61288495641054,180296.1020710059,4992.0,0.34753275226222036
526,261.65384615384613,171.5,295.1104020672332,87090.149408284,4397.0,0.27660759867585577
527,212.0,143.5,225.67352184414204,50928.53846153846,3289.0,0.16797085823474836
528,339.9230769230769,187.5,442.2987089388732,195628.1479289941,4482.0,0.26602542840290283
529,163.15384615384616,103.0,201.05351226203285,40422.5147928994,2433.0,0.09223083262214382
530,214.3846153846154,99.0,235.79783990057064,55600.62130177514,3843.0,0.23098354395812928
531,382.4230769230769,118.5,666.2990881369049,443954.4748520709,5068.0,0.3376249950007309
532,197.30769230769232,129.0,219.5615857585939,48207.28994082839,3131.0,0.15653001007462208
533,347.7307692307692,151.5,593.0257198788851,351679.5044378698,3254.0,0.14142478421390814
534,224.88,126.0,271.44506921290724,73682.4256,3430.0,0.18315650557491656
535,198.36,99.0,278.84402521840053,77753.99039999998,2524.0,0.09483827918145948
536,221.28,94.0,354.4801850597576,125656.2016,2823.0,0.12612466321164603
537,263.6,125.0,327.6036629831846,107324.16,4661.0,0.30969843139615777
