raceId,TCCAPE
627,156.0
628,169.0
629,182.0
630,195.0
631,0.0
632,13.0
633,26.0
634,39.0
635,52.0
636,65.0
637,78.0
638,91.0
639,104.0
640,117.0
641,130.0
642,143.0
643,156.0
644,169.0
645,182.0
646,195.0
647,0.0
648,13.0
649,26.0
650,39.0
651,52.0
652,65.0
653,78.0
654,91.0
655,104.0
656,117.0
657,130.0
658,143.0
659,156.0
660,169.0
661,182.0
662,195.0
663,208.0
664,0.0
665,13.0
666,26.0
667,39.0
668,52.0
669,65.0
670,78.0
671,91.0
672,104.0
673,117.0
674,130.0
675,143.0
676,156.0
677,169.0
678,182.0
679,195.0
680,208.0
681,0.0
682,13.0
683,26.0
684,39.0
685,52.0
686,65.0
687,78.0
688,91.0
689,104.0
690,117.0
691,130.0
692,143.0
693,155.0
694,168.0
695,181.0
696,194.0
697,207.0
698,0.0
699,19.5
700,39.0
701,58.5
702,78.0
703,97.5
704,117.0
705,136.5
706,156.0
707,175.5
708,195.0
709,214.5
710,234.0
711,253.5
712,273.0
713,292.5
714,0.0
715,19.5
716,39.0
717,58.5
718,78.0
719,97.5
720,117.0
721,136.5
722,156.0
723,175.5
724,195.0
725,214.5
726,234.0
727,253.5
728,273.0
729,292.5
730,312.0
731,331.5
732,0.0
733,19.5
734,39.0
735,58.5
736,78.0
737,97.5
738,117.0
739,136.5
740,156.0
741,174.0
742,193.5
743,213.0
744,232.5
745,252.0
746,271.5
747,291.0
748,310.5
749,330.0
750,349.5
751,0.0
752,19.5
753,39.0
754,58.5
755,78.0
756,97.5
757,117.0
758,136.5
759,156.0
760,175.5
761,195.0
762,214.5
763,234.0
764,253.5
765,273.0
766,292.5
767,312.0
768,331.5
769,0.0
770,19.5
771,39.0
772,58.5
773,78.0
774,97.5
775,117.0
776,136.5
777,156.0
778,175.5
779,195.0
780,214.5
781,234.0
782,253.5
783,273.0
784,292.5
785,312.0
786,0.0
787,19.5
788,39.0
789,58.5
790,78.0
791,97.5
792,117.0
793,136.5
794,156.0
795,175.5
796,195.0
797,214.5
798,234.0
799,253.5
800,273.0
801,292.5
802,312.0
803,331.5
804,0.0
805,19.5
806,29.25
807,48.75
808,68.25
809,87.75
810,107.25
811,126.75
812,146.25
813,165.75
814,185.25
815,204.75
816,224.25
817,243.75
818,263.25
819,282.75
820,302.25
821,0.0
822,50.5
823,101.0
824,151.5
825,202.0
826,252.5
827,303.0
828,353.5
829,404.0
830,454.5
831,505.0
832,555.5
833,606.0
834,656.5
835,707.0
836,757.5
837,808.0
838,858.5
839,909.0
840,0.0
841,50.5
842,101.0
843,151.5
844,202.0
845,252.5
846,303.0
847,353.5
848,404.0
849,454.5
850,505.0
851,555.5
852,606.0
853,656.5
854,707.0
855,757.5
856,808.0
857,858.5
858,909.0
859,0.0
860,50.5
861,101.0
862,151.5
863,202.0
864,252.5
865,303.0
866,353.5
867,404.0
868,454.5
869,505.0
870,555.5
871,606.0
872,656.5
873,707.0
874,757.5
875,808.0
876,858.5
877,909.0
878,959.5
879,0.0
880,50.5
881,101.0
882,151.5
883,202.0
884,252.5
885,303.0
886,353.5
887,404.0
888,454.5
889,505.0
890,555.5
891,606.0
892,656.5
893,707.0
894,757.5
895,808.0
896,858.5
897,909.0
898,0.0
899,50.5
900,101.0
901,151.5
902,202.0
903,252.5
904,303.0
905,353.5
906,404.0
907,454.5
908,505.0
909,555.5
910,606.0
911,656.5
912,707.0
913,757.5
914,807.0
915,857.5
916,908.0
917,0.0
918,50.5
919,101.0
920,151.5
921,202.0
922,252.5
923,303.0
924,353.5
925,404.0
926,454.5
927,505.0
928,555.5
929,606.0
930,656.5
931,707.0
932,757.5
933,808.0
934,858.5
935,909.0
936,0.0
937,50.5
938,101.0
939,151.5
940,202.0
941,252.5
942,303.0
943,353.5
944,404.0
945,454.5
946,505.0
947,555.5
948,606.0
949,656.5
950,707.0
951,757.5
952,808.0
953,858.5
954,909.0
955,959.5
956,1010.0
957,0.0
958,50.5
959,101.0
960,151.5
961,202.0
962,252.5
963,303.0
964,353.5
965,404.0
966,454.5
967,505.0
968,555.5
969,606.0
970,656.5
971,707.0
972,757.5
973,808.0
974,858.5
975,909.0
976,959.5
977,0.0
978,50.5
979,101.0
980,151.5
981,202.0
982,252.5
983,303.0
984,353.5
985,404.0
986,454.5
987,505.0
988,555.5
989,606.0
990,656.5
991,707.0
992,757.5
993,808.0
994,858.5
995,909.0
996,959.5
997,1010.0
998,0.0
999,51.0
1000,102.0
1001,153.0
1002,204.0
1003,255.0
1004,306.0
1005,357.0
1006,408.0
1007,459.0
1008,510.0
1009,561.0
1010,612.0
1011,663.0
1012,714.0
1013,764.5
1014,815.5
1015,866.5
1016,917.5
1017,968.5
1018,1019.0
1019,0.0
1020,51.0
1021,102.0
1022,153.0
1023,204.0
1024,255.0
1025,306.0
1026,357.0
1027,408.0
1028,459.0
1029,510.0
1030,561.0
1031,612.0
1032,663.0
1033,714.0
1034,765.0
1035,816.0
1036,0.0
1037,51.0
1038,102.0
1039,153.0
1040,204.0
1041,255.0
