raceId,totalDNFs,circuitId,countryId,rain,topTenDiversity,driverExpWeightedSum,pitsWeightedSum,preRaceALPCWeightedSum,TCCAPE,clusterMeanWeightedSum,gapWeightedSum
783,7.0,fuji,japan,heavy,7.0,-0.0932957457777024,0.4332787519446356,-0.0009094209523803,273.0,-1.714449098809524,-0.0707806853340818
784,5.0,shanghai,china,heavy,6.0,-0.125481204720622,0.5202463098377483,-0.0111623536320344,292.5,-1.3873000191428573,-0.0304855399246674
785,8.0,interlagos,brazil,light,6.0,-0.1705473839092715,0.4840378081160408,-0.0006592922510819,312.0,-2.137393644025974,-0.0756892619703429
786,13.0,melbourne,australia,none,8.0,0.2925696307657968,0.5730062782187493,-0.0098212977056274,0.0,-1.0589316791341992,-0.0822658274192232
787,5.0,sepang,malaysia,heavy,6.0,0.2603841718228771,0.8326907039332443,-0.0089862086147183,19.5,-1.5700768117748918,-0.0739607817304785
788,3.0,bahrain,bahrain,none,7.0,0.2281987128799575,0.4227744136675426,-0.0002036836796533,39.0,-1.634409515974026,-0.0540512694127399
789,9.0,catalunya,spain,none,6.0,0.1960132539370379,0.517809469320705,-0.0050626558874457,58.5,-1.9852923000865803,-0.125557184492229
790,3.0,istanbul,turkey,none,6.0,0.1038677947826244,0.664085455898968,-0.0173725547368416,78.0,-1.9265337542631584,-0.0982408626295351
791,6.0,monaco,monaco,moderate,7.0,0.0717021285092062,0.4854351352201363,-0.0164180627894739,97.5,-0.6640611688947369,-0.0928468873368783
792,7.0,montreal,canada,moderate,7.0,0.0395364622357879,0.8642080126508743,-0.0196456331578944,117.0,-0.9883949123976608,-0.0747365347748918
793,1.0,magny-cours,france,light,6.0,0.0073707959623696,0.7747096931063753,-0.0238066098421053,136.5,-2.197097758052632,-0.08458078914315
794,7.0,silverstone,united-kingdom,heavy,6.0,-0.0247948703110485,0.8998694891798169,-0.0138259643684213,156.0,-1.5732114625263158,-0.1025097314978537
795,3.0,hockenheimring,germany,none,7.0,-0.0569605365844668,0.8300608573045671,-0.0072297789473684,175.5,-2.499192397526316,-0.0718608021967341
796,2.0,hungaroring,hungary,none,6.0,-0.0891262028578851,0.8849668193141784,-0.0175231736842102,195.0,-2.3492262532105266,-0.0661045102535287
797,3.0,valencia,spain,none,6.0,-0.1212918691313033,0.9132930975541652,-0.0202855515789467,214.5,-2.828384882157895,-0.1058326260996164
